Date:,1/14/2024 18:52,,,,,,
Component Count:,320,,,,,,
,,,,,,,
Ref,Qnty,Value,Footprint,MPN,MFR,Unit Cost,Ext. Cost
"C1, C2, C3, C4, C5, C6, C7, C10, C11, C19",10,100n,Capacitor_0402,,,,
"C8, C9, C14",3,1u,Capacitor_0402,,,,
"C12, C13",2,2.2u,Capacitor_SMD:C_1210_3225Metric,,,,
"C15, C17, C18, C47, C48",5,10u,Capacitor_0805,,,,
C16,1,910p,Capacitor_0402,,,,
"C20, C21",2,27p,Capacitor_0402,,,,
"C22, C23, C24, C25, C26, C27",6,330u,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,,,,
C28,1,22u,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,,,,
"C29, C30, C35, C36, C41, C42",6,220u,Capacitor_SMD:CP_Elec_18x17.5,,,,
"C31, C37, C43",3,30n,Capacitor_0402,,,,
"C32, C33, C38, C39, C44, C45, C65, C66, C70, C71, C75, C76",12,1u,Capacitor_0603,,,,
"C34, C40, C46",3,10n,Capacitor_0402,,,,
C49,1,24n,Capacitor_0805,,,,
"C50, C51, C52, C53, C58, C59",6,50n,Capacitor_0402,,,,
"C54, C55, C60",3,5p,Capacitor_0402,,,,
"C56, C61",2,0.1u,Capacitor_0402,,,,
"C57, C62",2,1.0u,Capacitor_0402,,,,
"C63, C64, C68, C69, C73, C74",6,22u,Capacitor_SMD:CP_Elec_8x10,,,,
"C67, C72, C77",3,75n,Capacitor_0402,,,,
"D1, D2, D3, D4",4,PMEG10030ELPX,Diode_SOD-128,,,,
D5,1,120V,Diode_SOD-123,,,,
D6,1,36V,Diode_SOD-123,,,,
"D7, D10, D13, D16, D18, D20",6,80V,Diode_SMC,,,,
"D8, D11, D14",3,100V,Diode_SOD-123,,,,
"D9, D12, D15, D17, D19, D21",6,60V,Diode_SMC,,,,
J1,1,Conn_02x03_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD,,,,
J2,1,USB_B_Micro,Connector_USB:USB_Micro-B_Wuerth_629105150521_CircularHoles,,,,
"J3, J12",2,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,
"J4, J5, J6, J7, J9, J10",6,Screw_Terminal_01x01,TerminalBlock_Wuerth:Wuerth_REDCUBE-THR_WP-THRSH_74651174_THR,,,,
"J8, J11",2,TBL007A-508-06GY,CUI:CUI_TBL007A-508-06GY,,,,
"J13, J14, J15",3,Screw_Terminal_01x06,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal",,,,
K1,1,G9KB-1A DC12,Omron:Relay_SPST_Omron_G9KB,,,,
L1,1,39u,Inductor_SMD:L_12x12mm_H6mm,,,,
"Q1, Q2, Q3, Q5, Q6, Q7, Q10, Q11, Q12, Q14, Q15, Q16, Q19, Q20, Q21, Q23, Q24, Q25, Q31, Q32, Q34, Q35, Q36, Q38, Q39, Q40, Q42",27,~,Nexperia:WLCSP-8,,,,
"Q4, Q13, Q22, Q33, Q37, Q41",6,~,Package_TO_SOT_SMD:SOT-23,,,,
"Q8, Q17, Q26",3,PNP,Package_TO_SOT_SMD:SOT-23-3,,,,
"Q9, Q18, Q27, Q28, Q29, Q30",6,NMOS,Package_TO_SOT_SMD:SOT-23-3,,,,
"R1, R2",2,27,Resistor_0402,,,,
R3,1,100k,Resistor_0402,,,,
R4,1,3.3M,Resistor_0402,,,,
R5,1,453k,Resistor_0402,,,,
R6,1,11.1k,Resistor_0402,,,,
"R7, R30, R31, R32, R52, R72, R78, R79, R82, R83, R85, R86, R87, R88, R89, R90, R91, R94, R95, R97, R98, R100, R114, R131, R146",25,10k,Resistor_0603,,,,
R8,1,DNP,Capacitor_0402,,,,
"R9, R10",2,1k,Capacitor_0402,,,,
R11,1,68,Resistor_2512,,,,
"R12, R13, R14, R15, R16, R18, R34, R35, R36, R37, R38, R40, R54, R55, R56, R57, R58, R60",18,180,Resistor_0603,,,,
"R17, R24, R25, R39, R46, R47, R59, R66, R67, R77, R80, R81, R84, R93, R96, R103, R109, R110, R120, R126, R127, R135, R141, R142",24,100k,Resistor_0603,,,,
"R19, R41, R61, R105, R122, R137",6,56,Resistor_2512,,,,
"R20, R42, R62, R106, R123, R138",6,30,Resistor_2512,,,,
"R21, R43, R63, R107, R124, R139",6,21.3k,Resistor_0603,,,,
"R22, R44, R64",3,500u,Resistor_2512,,,,
"R23, R28, R45, R50, R65, R70, R76, R92, R99",9,1k,Resistor_0603,,,,
"R26, R48, R68, R111, R128, R143",6,33k,Resistor_0603,,,,
"R27, R49, R69, R112, R129, R144",6,95k,Resistor_0603,,,,
"R29, R51, R71, R113, R130, R145",6,3.9k,Resistor_0603,,,,
"R33, R53, R73",3,45.3k,Resistor_0603,,,,
R74,1,120,Resistor_0603,,,,
R75,1,3.12k,Resistor_0603,,,,
"R101, R102, R104, R118, R119, R121, R133, R134, R136",9,82.5,Resistor_0603,,,,
"R108, R125, R140",3,1.5m,Resistor_2512,,,,
"R117, R132, R147",3,28.2k,Resistor_0603,,,,
SW1,1,SW_MEC_5E,Button_Switch_SMD:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,,,,
U1,1,MAX17502G,Maxim:TDFN,,,,
